country,date,lead_id,reason_forgot,reason_tried_cancel,reason_did_not_cancel,reason_problem_branch,reason_problem_cs,reason_no_info,reason_late,reason_no_docs,reason_car_not_running,reason_car_deregistered,reason_not_found_branch,reason_duplication,reason_appt_took_place,reason_other
DE,"2026-05-19",WZ92087,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-20",BU54542,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",ND90633,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",XW25044,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-20",BS17133,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-20",MR81636,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",AM62426,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",NF67963,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-20",LN81418,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",CK07981,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",AN98235,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",XD34008,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",RE28723,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",LP82489,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",ZA75764,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",GV84742,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",FX92303,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",SB80172,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",UM71056,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",MS82973,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",KA88757,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-20",CW23025,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",BX73415,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",YN49938,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",GV20209,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-20",JJ95087,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",BJ23522,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-20",MS25912,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",TT16340,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-20",FJ35622,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-21",YH56369,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-21",RG41168,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-21",MU43518,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE,"2026-05-21",MU57154,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-21",GG07896,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-21",TB66054,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-21",SZ71522,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-21",XU65835,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-21",KD85397,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-21",RS33445,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",ZD04441,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",ME95846,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-22",MA11048,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-22",VE62024,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE,"2026-05-22",SY46215,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-22",WJ58969,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-22",YS99586,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",RH08701,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",PR98156,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",CD76215,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",EP70926,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-22",GF87699,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",TN76044,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",BG81250,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",RK91825,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-22",EH64972,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-22",PG70988,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-22",ZK77581,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-23",FV06012,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-23",TA70328,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-23",BY25726,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-25",FZ51880,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-25",HK18032,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-26",KW54021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-26",ZN60764,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-26",RN55483,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-26",TG64678,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",YH14303,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",BC43795,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",EW93578,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-26",CH40247,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-26",SS48457,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-26",AR17338,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-26",YZ44603,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-26",LZ39797,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",WC08331,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",GY50192,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",EZ47946,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-26",DU09894,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-26",BT86979,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",CP91146,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",AB53913,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",XB67598,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",VJ54311,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",JC58393,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",HS50119,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",WU50126,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",DM79402,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",NU14706,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-27",VX41010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",AF68482,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",TP67932,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",YW69145,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",GT43642,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",YS69261,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",JF02896,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",FE42853,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",LX70537,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",JN47396,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-27",EF91948,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-27",SL97664,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-27",FL86517,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",PY26121,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",WB39377,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",VC95034,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",LN72207,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",SA32885,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",KS22209,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",YE83316,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",VB69441,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",AZ61571,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",VY01068,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",VB53451,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",PY92232,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",XN01119,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",FV94850,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",UV23043,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-28",LC52490,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",ZG87427,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",NP97480,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",LS85060,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-28",ES32069,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",LW06493,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-28",KY09996,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-29",RG40214,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-29",RX46568,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-29",YT53852,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DE,"2026-05-29",ET26151,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-29",PB40727,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-29",MY54524,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-29",ZX72066,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-29",JD87159,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-29",DT82476,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-29",VP24020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-29",LR93089,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-29",SL31881,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-29",ER24114,0,0,1,0,0,0,0,0,0,0,0,0,0,0
